stid,name,city,nlat,elon,datc,datd
ACME,Acme,Rush Springs,34.80833,-98.02325,19940101,20991231
ADAX,Ada,Ada,34.79851,-96.66909,19940101,20991231
ALTU,Altus,Altus,34.58722,-99.33808,19940101,20991231
ALV2,Alva,Alva,36.70823,-98.70974,19981217,20991231
ALVA,Alva,Alva,36.7797,-98.6717,19940101,19981216
ANT2,Antlers,Antlers,34.24967,-95.66844,20110415,20991231
ANTL,Antlers,Antlers,34.22438,-95.70059,19940101,20110414
APAC,Apache,Apache,34.91418,-98.29216,19940101,20991231
ARD2,Ardmore,Ardmore,34.19258,-97.08568,20040223,20991231
ARDM,Ardmore,Ardmore,34.1922,-97.085,19940101,20040218
ARNE,Arnett,Arnett,36.07204,-99.90308,19940101,20991231
BBOW,Broken Bow,Broken Bow,34.0144,-94.6131,19940101,20021119
BEAV,Beaver,Beaver,36.80253,-100.53012,19940101,20991231
BEEX,Bee,Tishomingo,34.19121,-96.64386,20010401,20050713
BESS,Bessie,Bessie,35.40185,-99.05847,19940101,20991231
BIXB,Bixby,Bixby,35.96305,-95.86621,19940101,20991231
BLAC,Blackwell,Blackwell,36.75443,-97.25452,19940101,20991231
BOIS,Boise City,Boise City,36.69256,-102.49713,19940101,20991231
BOWL,Bowlegs,Bowlegs,35.17156,-96.63121,19940101,20991231
BREC,Breckinridge,Breckinridge,36.41201,-97.69394,19940101,20991231
BRIS,Bristow,Bristow,35.7805,-96.35404,19940101,20991231
BROK,Broken Bow,Broken Bow,34.0433,-94.6244,20030404,20991231
BUFF,Buffalo,Buffalo,36.83129,-99.64101,19940101,20991231
BURB,Burbank,Burbank,36.63459,-96.81046,19940101,20991231
BURN,Burneyville,Burneyville,33.89376,-97.26918,19940101,20991231
BUTL,Butler,Butler,35.5915,-99.27059,19940101,20991231
BYAR,Byars,Byars,34.8497,-97.0033,19940101,20991231
CALV,Calvin,Calvin,34.9924,-96.33422,19940101,20090318
CAMA,Camargo,Camargo,36.02866,-99.34652,19940101,20991231
CARL,Lake Carl Blackwell,Orlando,36.1473,-97.28585,20080301,20991231
CATO,Catoosa,Catoosa,36.2619,-95.7572,19960618,20010418
CENT,Centrahoma,Centrahoma,34.60896,-96.33309,19940101,20991231
CHAN,Chandler,Sparks,35.65282,-96.80407,19940101,20991231
CHER,Cherokee,Cherokee,36.74813,-98.36274,19940101,20991231
CHEY,Cheyenne,Cheyenne,35.54615,-99.7279,19940101,20991231
CHIC,Chickasha,Chickasha,35.03236,-97.91446,19940101,20991231
CLAR,Claremore,Claremore,36.3172,-95.6417,19940101,20020707
CLAY,Clayton,Clayton,34.65657,-95.32596,19940101,20991231
CLOU,Cloudy,Cloudy,34.22321,-95.2487,19940101,20991231
CLRM,Claremore,Claremore,36.32112,-95.64617,20020711,20140501
COOK,Cookson,Marble City,35.68001,-94.84896,19940101,20991231
COPA,Copan,Copan,36.90987,-95.88553,19940101,20991231
DURA,Durant,Durant,33.92075,-96.32027,19940101,20991231
ELRE,El Reno,El Reno,35.54848,-98.03654,19940101,20991231
ERIC,Erick,Erick,35.20494,-99.80344,19940101,20991231
EUFA,Eufaula,Eufaula,35.30324,-95.65707,19940101,20991231
FAIR,Fairview,Fairview,36.26353,-98.49766,19940101,20991231
FITT,Fittstown,Fittstown,34.55205,-96.71779,20050512,20991231
FORA,Foraker,Foraker,36.84053,-96.42777,19940101,20991231
